user_id,Attrition
442,0.108571226
1091,0.151072118
981,0.28997201
785,0.126188024
1332,0.771089979
501,0.027687524
1058,0.253444999
1253,0.047524676
751,0.035287332
122,0.175328293
268,0.072138011
940,0.254306273
1125,0.054047702
540,0.514881948
1034,0.091586059
432,0.0135364
794,0.122364992
666,0.215776946
942,0.083397929
1114,0.061243067
853,0.325464551
1330,0.062962292
692,0.044590133
548,0.073130135
54,0.555612938
319,0.144458943
1147,0.067341734
1235,0.073463527
1436,0.644663794
520,0.062001216
983,0.048460357
1347,0.068855797
465,0.100647287
966,0.14864695
31,0.097197346
420,0.037847462
1462,0.12869839
1408,0.069189953
89,0.098167178
298,0.05221122
875,0.076175906
1385,0.07296664
1430,0.048540636
223,0.085029629
1412,0.070596023
1375,0.57180148
4,0.167927041
1174,0.021062068
892,0.769360105
34,0.518855404
1310,0.114969184
182,0.423338127
467,0.098636688
52,0.129407804
1032,0.457999693
142,0.14348379
1440,0.02809033
528,0.161346372
629,0.028221757
1051,0.082362203
1269,0.039881935
993,0.191393063
526,0.05586362
278,0.074248725
887,0.173674663
1275,0.055900828
667,0.11969651
792,0.042892853
148,0.098013598
1039,0.180564417
1414,0.092621036
474,0.197014536
1341,0.070450081
1158,0.080587744
393,0.044071491
965,0.074173446
1397,0.063484909
743,0.100240899
980,0.468632103
1410,0.048953451
916,0.069128704
1300,0.080941768
642,0.096597481
1064,0.072610159
1318,0.053816021
1247,0.076546505
187,0.050497273
1023,0.067837755
1183,0.074475179
1073,0.09873253
1311,0.467592717
9,0.052200492
1019,0.081139747
1180,0.120721897
1405,0.061536051
1120,0.139191107
483,0.258520173
310,0.244887265
722,0.038022222
5,0.0423186
482,0.198904616
204,0.518941133
1086,0.220098204
376,0.047810665
740,0.061614006
299,0.06387022
1218,0.094097358
546,0.24890079
1434,0.059495615
1400,0.122544505
302,0.073403202
1096,0.169755027
360,0.05104725
1131,0.107106594
191,0.027831902
315,0.040611937
211,0.032093093
215,0.119821617
279,0.045308754
1179,0.016149759
141,0.086421089
1227,0.0185665
641,0.083594227
14,0.654332295
82,0.122387587
1301,0.117511694
787,0.035991897
583,0.043424338
333,0.098652887
610,0.060944758
390,0.061983634
1083,0.24243452
2,0.675572044
554,0.215376081
85,0.074594902
995,0.147025446
107,0.58067632
930,0.058134623
1306,0.095989302
1308,0.13899775
489,0.088529199
361,0.055192231
1090,0.112381665
80,0.09348877
152,0.197166168
1452,0.035608913
1093,0.094590645
231,0.088628813
693,0.128831941
96,0.108159761
224,0.035839046
948,0.122370238
1015,0.056158557
913,0.155191721
445,0.120642513
1,0.060205
425,0.074238794
159,0.030682877
1210,0.081582515
227,0.066354296
838,0.278925353
1416,0.053522371
161,0.088183831
656,0.752000763
308,0.081021322
253,0.346939897
1084,0.208038113
113,0.040983772
1292,0.051063336
898,0.031543983
295,0.091629325
608,0.087076387
175,0.099980565
970,0.190176956
45,0.07600921
487,0.639145717
1358,0.062806849
55,0.138373707
657,0.075197985
1126,0.117932119
254,0.04438974
491,0.045058653
867,0.05081156
1396,0.550440625
587,0.048801726
863,0.040446004
536,0.309208306
619,0.076737924
192,0.602101716
1411,0.165987593
1460,0.620847662
1273,0.54019917
1425,0.097887923
574,0.027365178
108,0.042221828
651,0.126839709
567,0.058776398
728,0.057917502
842,0.455458138
426,0.024950252
260,0.119610972
580,0.117809691
1021,0.564844028
1173,0.054639072
572,0.084578559
679,0.064130857
1349,0.672843455
233,0.050135036
303,0.10920589
506,0.034048984
364,0.052446366
1100,0.047500885
27,0.062625406
1056,0.156432666
317,0.082087525
471,0.044861998
907,0.071743734
202,0.121915688
1129,0.071774928
1069,0.340614472
1263,0.081528691
381,0.342239772
1137,0.588490461
914,0.098968119
634,0.489722383
184,0.031768348
431,0.039661973
1413,0.28729753
1438,0.525116446
1361,0.054344276
326,0.048813163
19,0.316439534
726,0.037074425
330,0.03681462
353,0.087700907
1074,0.206650341
1360,0.13086838
412,0.026283251
1149,0.092418023
649,0.064146208
1279,0.090289728
638,0.270397061
18,0.085564171
500,0.107642105
1099,0.093176131
1075,0.055801625
53,0.107924356
632,0.371849217
874,0.057703824
342,0.130294125
47,0.232801605
459,0.1407328
748,0.567957319
609,0.070947268
989,0.190148797
1038,0.084879769
473,0.06281072
711,0.731304184
717,0.201799394
140,0.185495229
1123,0.209977988
39,0.077594298
1368,0.120770469
1026,0.070689528
322,0.04967233
742,0.110811874
935,0.059568035
479,0.136390015
1236,0.173096886
1079,0.047729243
461,0.07291953
58,0.035406709
241,0.028510673
1103,0.060090769
783,0.049376692
1399,0.067824187
56,0.122211814
665,0.377428819
575,0.132418141
505,0.115990979
443,0.227528621
1283,0.039963495
516,0.201153585
29,0.065357242
270,0.188855378
924,0.257986677
1288,0.018797354
985,0.125450704
1327,0.076427382
1439,0.100944209
481,0.133561762
124,0.260961825
198,0.052784737
1229,0.122697369
